Sparsity,Gaplength,Data Length
34.78260869565217,12,345
34.78260869565217,24,345
34.78260869565217,36,345
34.78260869565217,12,345
34.78260869565217,36,345
60.0,36,60
45.45454545454545,24,132
45.45454545454545,12,132
45.45454545454545,24,132
32.5503355704698,60,298
32.5503355704698,36,298
32.5503355704698,1,298
14.285714285714285,3,21
16.666666666666664,4,24
75.0,48,192
75.0,96,192
20.0,36,180
23.076923076923077,12,52
71.42857142857143,108,168
71.42857142857143,12,168
5.741626794258373,12,209
66.66666666666666,72,108
40.0,12,120
40.0,24,120
40.0,12,120
50.0,60,216
50.0,48,216
