"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2000-01-01","2000-12-31",2000,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2001-01-01","2001-12-31",2001,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2002-01-01","2002-12-31",2002,26,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2003-01-01","2003-12-31",2003,160,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2004-01-01","2004-12-31",2004,36,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2005-01-01","2005-12-31",2005,68,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2006-01-01","2006-12-31",2006,68,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2007-01-01","2007-12-31",2007,18,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2008-01-01","2008-12-31",2008,32,"Total","Admin0","Year","MOH-BRN-2008-Y01-04"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2009-01-01","2009-12-31",2009,33,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2010-01-01","2010-12-31",2010,299,"Total","Admin0","Year","MOH-BRN-2010-Y01-06"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2011-01-01","2011-12-31",2011,25,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-01-01","2012-01-31",2012,8,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-02-01","2012-02-29",2012,11,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-03-01","2012-03-31",2012,25,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-04-01","2012-04-30",2012,11,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-05-01","2012-05-31",2012,8,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-06-01","2012-06-30",2012,6,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-07-01","2012-07-31",2012,9,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-08-01","2012-08-31",2012,13,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-09-01","2012-09-30",2012,32,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-10-01","2012-10-31",2012,34,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-11-01","2012-11-30",2012,65,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2012-12-01","2012-12-31",2012,68,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2013-01-01","2013-01-31",2013,53,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2013-01-01","2013-12-31",2013,2025,"Total","Admin0","Year","LITERATURE-ALL-20112019-Y01-02"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2013-02-01","2013-02-28",2013,44,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2013-03-01","2013-03-31",2013,31,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2013-04-01","2013-04-30",2013,32,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2013-05-01","2013-05-31",2013,44,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2013-06-01","2013-06-30",2013,37,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2013-07-01","2013-07-31",2013,39,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
"BRUNEI DARUSSALAM",NA,NA,"BRUNEI DARUSSALAM","BRN",40,"BRN",NA,"2013-08-01","2013-08-31",2013,42,"Total","Admin0","Month","LITERATURE-BRN-20122017-Y01-00"
